iter	RMSE
0	12524.02979
1	11419.08625
2	10461.16045
3	9608.489072
4	8852.636539
5	8176.672785
6	7563.899386
7	6995.469831
8	6491.294929
9	6015.652467
10	5586.625867
11	5187.965049
12	4835.467753
13	4502.091193
14	4218.036109
15	3927.414892
16	3681.672992
17	3459.974563
18	3252.587075
19	3041.777808
20	2869.918408
21	2695.710949
22	2555.935305
23	2408.129969
24	2280.546832
25	2159.50441
26	2053.943358
27	1950.916247
28	1858.769427
29	1776.219833
30	1695.217529
31	1624.825023
32	1553.078375
33	1494.030439
34	1436.188945
35	1381.92973
36	1334.935821
37	1294.054289
38	1248.844448
39	1212.307816
40	1177.94676
41	1145.693307
42	1118.357645
43	1091.001398
44	1069.629361
45	1044.935874
46	1026.647063
47	1008.42851
48	992.5887958
49	975.6512003
50	961.713804
51	947.3227856
52	935.4977323
53	925.0956464
54	914.340461
55	903.42359
56	894.0045613
57	886.3908414
58	877.4403278
59	869.9601635
60	865.025165
61	857.6663383
62	851.4309273
63	842.2789962
64	836.6016599
65	831.0121916
66	824.856679
67	819.5252835
68	813.0609142
69	807.7888135
70	803.5028458
71	798.3836886
72	794.192586
73	787.8378279
74	782.2620605
75	776.3265435
76	772.8141127
77	768.7583737
78	765.0506704
79	753.3407584
80	750.2747463
81	746.6178184
82	737.1029361
83	732.6065066
84	729.0797417
85	725.6389199
86	722.5990448
87	720.0483049
88	716.7137367
89	707.7219755
90	704.7223382
91	702.3323225
92	700.1421006
93	698.205978
94	696.5635794
95	694.1621432
96	692.0699785
97	689.8891523
98	687.9620691
99	686.5535627
100	685.0652064
101	683.3378692
102	682.2253279
103	680.0753182
104	677.9900849
105	676.3131616
106	674.6063381
107	673.3385269
108	671.9871999
109	669.6556178
110	662.727269
111	661.3367801
112	659.4918868
113	658.1829644
114	656.8352113
115	655.7959319
116	654.8926363
117	653.4277128
118	652.309872
119	649.2074704
120	648.4497489
121	647.2970939
122	646.099912
123	644.9175771
124	643.9707956
125	643.2670386
126	642.20768
127	641.2739491
128	640.5778609
129	639.9428549
130	638.629575
131	638.0322339
132	637.3995781
133	636.4973081
134	636.0682053
135	635.8017157
136	635.1220277
137	630.4402552
138	629.2503326
139	628.3798457
140	627.9630408
141	627.33955
142	626.7996491
143	626.0188848
144	625.6909822
145	625.169265
146	624.8000766
147	623.8328193
148	623.393373
149	622.9136786
150	622.4062651
151	622.3914129
152	621.5803811
153	621.0608336
154	620.7817366
155	620.2228098
156	619.9376921
157	619.428113
158	619.1243002
159	618.8550247
160	618.8470819
161	618.7259689
162	618.3614432
163	618.1162539
164	616.7216839
165	615.686167
166	615.1612146
167	614.7419859
168	614.5441435
169	614.4325267
170	614.0935545
171	613.856493
172	613.8281182
173	613.6972285
174	613.393383
175	613.3243214
176	609.9158683
177	609.6812322
178	609.3222925
179	609.0013679
180	608.9574193
181	606.3063286
182	605.9370937
183	605.6719467
184	605.1407841
185	604.7434124
186	604.4841528
187	604.1948882
188	604.062005
189	603.819913
190	603.7684476
191	603.5916683
192	603.4767994
193	603.3127311
194	600.8583432
195	600.7609821
196	598.8638856
197	598.8066457
198	598.5916952
199	598.5027955
200	598.1028294
201	597.9255893
202	597.8019849
203	597.595605
204	597.4948797
205	597.3971382
206	597.2837347
207	596.975921
208	596.8317229
209	596.6197423
210	596.4466165
211	596.4339063
212	596.1049061
213	596.0100012
214	595.9362894
215	595.7730281
216	595.7398708
217	595.6162584
218	595.5858703
219	595.4363051
220	595.2607565
221	595.2046482
222	595.0332121
223	594.9082997
224	594.7992048
225	594.680003
226	594.6316285
227	594.437115
228	594.4151953
229	594.3084525
230	594.1246424
231	593.6861383
232	593.6036528
233	593.4308684
234	593.2114541
235	593.1292637
236	591.4253477
237	591.3075172
