iter	RMSE
238	591.2027631
239	590.8431574
240	590.7825835
241	590.6138476
242	590.5630531
243	590.4535432
244	590.3968406
245	590.2733361
246	590.1948867
247	590.0923312
248	590.0520929
249	589.8330192
250	589.7798249
251	589.6063454
252	589.5947574
253	589.4587192
254	589.3818901
255	589.2980971
256	589.2524486
257	588.9231784
258	588.7385746
259	588.6617279
260	588.6087137
261	588.4553366
262	588.3490813
263	588.1100791
264	588.0743966
265	586.4339649
266	586.3529187
267	586.3182486
268	586.1362682
269	586.0560781
270	585.9011068
271	585.8937368
272	585.7497446
273	585.5497229
274	585.5045308
275	585.4281929
276	585.2504562
277	583.7786021
278	583.5782646
279	583.4609987
280	583.3093872
281	583.2295682
282	583.0975248
283	581.8894542
284	581.8288059
285	581.7779754
286	581.5941832
287	581.5563033
288	581.5254666
289	581.39091
290	581.2711413
291	581.1049635
292	579.9466295
293	579.8702029
294	578.9644902
295	578.9459803
296	578.8921745
297	578.7343816
298	578.6599718
299	578.5223767
300	578.5211893
301	578.3161797
302	578.1949715
303	578.170057
304	578.1458171
305	578.0509841
306	578.0009398
307	577.8821557
308	577.7365881
309	576.7601281
310	576.6835032
311	576.6327006
312	575.8698569
313	575.6296661
314	575.3776886
315	575.3133008
316	575.2371866
317	575.1637693
318	574.9980843
319	574.9213286
320	574.9124862
321	574.8078801
322	574.6419963
323	574.5182333
324	574.3703247
325	574.2588139
326	574.2062308
327	574.0946992
328	574.0311561
329	573.9771425
330	573.9735557
331	573.9051769
332	573.8542292
333	573.7335766
334	573.7304555
335	573.7032842
336	573.6137858
337	573.5148876
338	573.3940271
339	573.3774048
340	573.2622475
341	573.1393087
342	573.0160739
343	572.9342784
344	572.8015952
345	572.7532462
346	572.6669067
347	572.6090391
348	572.5976458
349	572.4840646
350	572.3873549
351	572.2699803
352	572.2615103
353	571.3190154
354	571.2673614
355	571.1621218
356	571.1223901
357	571.1147043
358	570.3428853
359	570.2718077
360	570.1963886
361	570.1409008
362	570.0731479
363	569.4739483
364	569.0218797
365	568.6865084
366	568.4355994
367	568.4319756
368	568.3553384
369	568.2632602
370	568.1912323
371	568.088846
372	567.9991772
373	567.9790873
374	567.8491817
375	567.7125025
376	567.6239334
377	567.6061644
378	567.5283944
379	567.3911655
380	567.3245044
381	567.1874348
382	567.0960217
383	567.0197143
384	566.7877065
385	566.7663654
386	566.6085769
387	566.5240332
388	566.4050675
389	566.3748276
390	565.7344517
391	565.6628339
392	565.4935772
393	565.4711773
394	565.3426157
395	565.2210509
396	565.1525976
397	565.1400253
398	565.1335586
399	565.0923919
400	564.9556876
401	564.9387922
402	564.8296317
403	564.7266003
404	564.6501931
405	564.5384821
406	564.5088592
407	564.4511248
408	564.4114796
409	564.2320165
410	564.1306324
411	564.0154574
412	563.835724
413	563.7630298
414	563.6823107
415	563.6450486
416	563.6119757
417	563.4763643
418	563.3943533
419	563.3635002
420	563.2774758
421	563.1795549
422	563.1595413
423	563.0132044
424	562.9454913
425	562.8230395
426	562.1792735
427	562.0071939
428	561.936079
429	561.9315543
430	561.9032707
431	561.8745665
432	561.8604174
433	561.8079804
434	561.5887572
435	561.4246149
436	561.3006853
437	561.1948166
438	561.1408791
439	561.0454712
440	560.9050265
441	560.7528195
442	560.683582
443	560.5843866
444	560.4011223
445	560.2874347
446	560.1698634
447	560.0140409
448	559.9346367
449	559.8213846
450	559.8000044
451	559.7414499
452	559.6135982
453	559.495397
454	559.4287534
455	559.2702742
456	559.1731329
457	559.0509055
458	558.95868
459	558.8388032
460	558.764064
461	558.7576021
462	558.7418022
463	558.724865
464	558.7118851
465	558.7118798
466	558.651379
467	558.6062684
468	558.4900943
469	558.4786254
470	558.4257051
471	558.4185704
472	558.3309385
473	558.2057345
474	558.1532301
475	557.4763297
476	557.33267
477	557.2670086
478	557.2113013
479	557.1499676
480	557.1472838
481	557.0098341
482	556.9715493
483	556.9075531
484	556.8112073
485	556.7250615
486	556.7049502
487	556.6273215
488	556.5151613
489	556.4607017
490	556.3724236
491	556.2910033
492	556.1191251
493	556.0340433
494	556.0204331
495	556.006068
496	555.897919
497	555.8153764
498	555.8037739
499	555.6849453
500	555.6787443
501	555.0252911
502	555.0252015
503	555.012715
504	555.0110671
505	555.0085298
506	554.8765204
507	554.806164
508	554.784224
509	554.7129661
510	554.5775314
511	554.4731925
512	554.464055
513	554.4628961
514	554.4235235
515	554.3451656
516	554.3293187
517	554.2594622
518	554.1420141
519	554.0908951
520	554.0209164
521	553.929901
522	553.8007038
523	553.7748611
524	553.7581926
525	553.6338697
526	553.5893548
527	553.0184807
528	552.9594376
529	552.9535772
530	552.9169288
531	552.7959738
532	552.7481451
533	552.6327863
534	552.5530516
535	552.5318883
536	552.40591
537	552.3187699
538	552.2979214
539	552.2673291
540	552.1912179
541	552.0248618
542	551.9327161
543	551.9219382
544	551.9187721
545	551.9183711
546	551.3658855
547	551.3231242
548	551.2068338
549	551.1315855
550	551.0733572
551	550.9793371
552	550.8778358
553	550.8095589
554	550.8029539
555	550.6811612
556	550.6428805
557	550.6297968
558	550.5423061
559	550.5371064
560	550.5151771
561	550.5081153
562	550.5040028
563	550.4696258
564	550.3922633
565	550.289491
566	550.2330441
567	550.1576938
568	549.6599528
569	549.6598624
570	549.5135401
571	549.4658607
572	549.449201
573	549.4280125
574	549.3431435
575	549.3256617
576	549.2822473
577	549.1741146
578	549.1738429
579	549.1209288
580	549.1207654
581	548.9654738
582	548.9071169
583	548.8953558
584	548.8945982
585	548.8657766
586	548.8640336
587	548.8518575
588	548.824443
589	548.7266596
590	548.7105041
591	548.7069633
592	548.6303737
593	548.5095138
594	548.494791
595	548.4103957
596	548.3560305
597	548.244175
598	548.2054009
599	548.0484955
600	548.0449776
601	547.5021765
602	547.5009847
603	547.4715959
604	547.4006116
605	547.2739283
606	547.2404926
607	547.1968609
608	547.1210569
609	547.0275675
610	546.9195062
611	546.9179508
612	546.8162637
613	546.7162516
614	546.597254
615	546.5959132
616	546.584734
617	546.5786818
618	546.4990611
619	546.4095093
620	546.2731326
621	546.1748488
622	545.7425472
623	545.6147338
624	545.5707268
625	545.5707261
626	545.4889587
627	545.4466081
628	545.0797676
629	545.015528
630	544.8143954
631	544.810681
632	544.7903795
633	544.6473375
634	544.647079
635	544.6268518
636	544.5389658
637	544.4825916
638	544.3945829
639	544.3032455
640	544.3025391
641	544.2864
642	544.2811943
643	544.1582188
644	544.1205621
645	544.0445227
646	543.9458492
647	543.8406646
648	543.7873123
649	543.7849698
650	543.7837035
651	543.3588694
652	543.2974246
653	543.2638423
654	543.2618168
655	543.1726205
656	542.855171
657	542.8018939
658	542.794379
659	542.6790718
660	542.5795019
661	542.3155702
662	542.2474397
663	542.2433337
664	542.1399123
665	542.0891572
666	541.9439546
667	541.9428405
668	541.8920575
669	541.8133616
670	541.7214283
671	541.5882272
672	541.5220637
673	541.4754903
674	541.3338752
675	541.3338501
676	541.2700976
677	541.2659367
678	541.1751297
679	541.082203
680	541.0758879
681	541.0323568
682	541.0002026
683	540.958636
684	540.9578215
685	540.7621206
686	540.6002446
687	540.5138383
688	540.4853364
689	540.4597978
